model,u_full_reference_rmse_mps,u_tracking_rmse_mps,u_tracking_mae_mps,u_at_release_mps,u_final_mps,u_tracking_last1s_mean_mps,u_tracking_last1s_std_mps,u_zero_last1s_mean_mps,u_zero_last1s_std_mps,u_peak_mps,u_overshoot_mps,rise_time_90_s,surge_cmd_rms,surge_cmd_peak,max_abs_v_mps,max_abs_w_mps,max_abs_r_radps,max_abs_roll_deg,max_abs_pitch_deg,forward_distance_m,finite
gaussian,0.05998543124595579,0.07072135774645742,0.0583975164912373,0.11355123545415993,0.006181753055146652,0.15474362450105766,0.013924583616822105,0.008849149240517037,0.001864134355959483,0.16148774817004885,0.0,nan,0.1927453709278761,0.25,0.005903611616704197,0.01596272250000285,0.026944174745196177,0.09632184779957162,4.699269910934261,0.7831394150853157,1.0
arx10,0.05934542761107438,0.07051845865474395,0.058291238003042284,0.11376957382593807,0.005833677231819003,0.15480219954090105,0.01384436077010845,0.00835474192476821,0.0017621518850621735,0.16150143902964495,0.0,nan,0.1927464964529107,0.25,0.009317600492526381,0.009846701845123686,0.03792552209797142,0.42694113506435843,4.654231500950284,0.7808617427945137,1.0
