model,u_rmse_mps,u_mae_mps,u_final_mps,u_last1s_mean_mps,u_last1s_std_mps,u_peak_mps,u_overshoot_mps,rise_time_90_s,surge_cmd_rms,surge_cmd_peak,max_abs_v_mps,max_abs_w_mps,max_abs_r_radps,max_abs_roll_deg,max_abs_pitch_deg,forward_distance_m,finite
gaussian,0.06959112340257695,0.056991245065682684,0.16148228703791237,0.16144038010981548,2.3503849345717566e-05,0.16148228703791237,0.0,nan,0.24647515087732474,0.25,0.005903611616704197,0.01596272250000285,0.0074901026278902565,0.043053872820472634,4.689988692548851,0.7076642587780952,1.0
arx10,0.06939619151588781,0.05689705749418692,0.16138696480287915,0.16144252793169678,3.000554958858154e-05,0.16150609647636946,0.0,nan,0.24647515087732474,0.25,0.009317600492526381,0.009353069706189668,0.03792552209797142,0.17336543732821091,4.653649275701349,0.7103133872151375,1.0
