model,u_rmse_mps,u_mae_mps,u_final_mps,u_last1s_mean_mps,u_last1s_std_mps,u_peak_mps,u_overshoot_mps,rise_time_90_s,surge_cmd_rms,surge_cmd_peak,max_abs_v_mps,max_abs_w_mps,max_abs_r_radps,max_abs_roll_deg,max_abs_pitch_deg,forward_distance_m,finite
gaussian,0.07072135774645742,0.0583975164912373,0.11355123545415993,0.15474362450105766,0.013924583616822105,0.16148774817004885,0.0,nan,0.2406693238292887,0.25,0.005903611616704197,0.01596272250000285,0.0074901026278902565,0.04591288541194314,4.699269910934261,0.701500304043293,1.0
arx10,0.07051845865474395,0.058291238003042284,0.11376957382593807,0.15480219954090105,0.01384436077010845,0.16150143902964495,0.0,nan,0.2407495668909696,0.25,0.009317600492526381,0.009846701845123686,0.03792552209797142,0.17336543732821091,4.654231500950284,0.7045322135090828,1.0
